11-28 15:54:19: Training starting...
Episode 111: Reward: 16.00, Epsilon: 0.5704, k: 0.8199, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 112: Reward: 45.00, Epsilon: 0.5676, k: 0.9379, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 113: Reward: 27.00, Epsilon: 0.5647, k: 0.9468, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 114: Reward: 75.00, Epsilon: 0.5619, k: 1.2143, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 115: Reward: 29.00, Epsilon: 0.5591, k: 1.2064, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 116: Reward: 13.00, Epsilon: 0.5563, k: 1.1128, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 117: Reward: 21.00, Epsilon: 0.5535, k: 1.0718, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 118: Reward: 21.00, Epsilon: 0.5507, k: 1.0349, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 119: Reward: 49.00, Epsilon: 0.5480, k: 1.1530, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 120: Reward: 15.00, Epsilon: 0.5452, k: 1.0755, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 121: Reward: 41.00, Epsilon: 0.5425, k: 1.1464, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 122: Reward: 48.00, Epsilon: 0.5398, k: 1.2479, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 123: Reward: 12.00, Epsilon: 0.5371, k: 1.1448, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 124: Reward: 27.00, Epsilon: 0.5344, k: 1.1330, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 125: Reward: 25.00, Epsilon: 0.5318, k: 1.1116, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 126: Reward: 15.00, Epsilon: 0.5291, k: 1.0383, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 127: Reward: 33.00, Epsilon: 0.5264, k: 1.0696, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 128: Reward: 25.00, Epsilon: 0.5238, k: 1.0545, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 129: Reward: 15.00, Epsilon: 0.5212, k: 0.9869, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 130: Reward: 16.00, Epsilon: 0.5186, k: 0.9315, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 131: Reward: 24.00, Epsilon: 0.5160, k: 0.9248, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 132: Reward: 22.00, Epsilon: 0.5134, k: 0.9080, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 133: Reward: 76.00, Epsilon: 0.5108, k: 1.1848, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 134: Reward: 15.00, Epsilon: 0.5083, k: 1.1041, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 135: Reward: 33.00, Epsilon: 0.5058, k: 1.1288, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 136: Reward: 27.00, Epsilon: 0.5032, k: 1.1187, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 137: Reward: 31.00, Epsilon: 0.5007, k: 1.1311, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 138: Reward: 32.00, Epsilon: 0.4982, k: 1.1477, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 139: Reward: 17.00, Epsilon: 0.4957, k: 1.0816, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 140: Reward: 63.00, Epsilon: 0.4932, k: 1.2707, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 141: Reward: 14.00, Epsilon: 0.4908, k: 1.1761, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 142: Reward: 12.00, Epsilon: 0.4883, k: 1.0801, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 143: Reward: 25.00, Epsilon: 0.4859, k: 1.0640, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 144: Reward: 15.00, Epsilon: 0.4834, k: 0.9954, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 145: Reward: 11.00, Epsilon: 0.4810, k: 0.9121, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 146: Reward: 28.00, Epsilon: 0.4786, k: 0.9290, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 147: Reward: 20.00, Epsilon: 0.4762, k: 0.9010, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 148: Reward: 37.00, Epsilon: 0.4738, k: 0.9676, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 149: Reward: 37.00, Epsilon: 0.4715, k: 1.0276, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 150: Reward: 35.00, Epsilon: 0.4691, k: 1.0708, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 151: Reward: 20.00, Epsilon: 0.4668, k: 1.0286, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 152: Reward: 20.00, Epsilon: 0.4644, k: 0.9906, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 153: Reward: 20.00, Epsilon: 0.4621, k: 0.9564, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 154: Reward: 17.00, Epsilon: 0.4598, k: 0.9094, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 155: Reward: 31.00, Epsilon: 0.4575, k: 0.9428, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 156: Reward: 29.00, Epsilon: 0.4552, k: 0.9620, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 157: Reward: 38.00, Epsilon: 0.4529, k: 1.0280, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 158: Reward: 27.00, Epsilon: 0.4507, k: 1.0279, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 159: Reward: 21.00, Epsilon: 0.4484, k: 0.9954, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 160: Reward: 14.00, Epsilon: 0.4462, k: 0.9283, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 161: Reward: 23.00, Epsilon: 0.4440, k: 0.9165, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 162: Reward: 62.00, Epsilon: 0.4417, k: 1.1168, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 163: Reward: 15.00, Epsilon: 0.4395, k: 1.0429, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 164: Reward: 18.00, Epsilon: 0.4373, k: 0.9927, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 165: Reward: 56.00, Epsilon: 0.4351, k: 1.1529, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 166: Reward: 10.00, Epsilon: 0.4330, k: 1.0484, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 167: Reward: 44.00, Epsilon: 0.4308, k: 1.1382, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 168: Reward: 24.00, Epsilon: 0.4286, k: 1.1108, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 169: Reward: 34.00, Epsilon: 0.4265, k: 1.1403, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 170: Reward: 20.00, Epsilon: 0.4244, k: 1.0911, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 171: Reward: 32.00, Epsilon: 0.4223, k: 1.1117, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 172: Reward: 68.00, Epsilon: 0.4201, k: 1.3249, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 173: Reward: 40.00, Epsilon: 0.4180, k: 1.3654, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 174: Reward: 24.00, Epsilon: 0.4159, k: 1.3153, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 175: Reward: 16.00, Epsilon: 0.4139, k: 1.2270, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 176: Reward: 42.00, Epsilon: 0.4118, k: 1.2881, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 177: Reward: 14.00, Epsilon: 0.4097, k: 1.1917, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 178: Reward: 11.00, Epsilon: 0.4077, k: 1.0888, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 179: Reward: 30.00, Epsilon: 0.4057, k: 1.0988, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 180: Reward: 17.00, Epsilon: 0.4036, k: 1.0376, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 181: Reward: 11.00, Epsilon: 0.4016, k: 0.9500, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 182: Reward: 14.00, Epsilon: 0.3996, k: 0.8875, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 183: Reward: 21.00, Epsilon: 0.3976, k: 0.8690, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 184: Reward: 38.00, Epsilon: 0.3956, k: 0.9443, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 185: Reward: 21.00, Epsilon: 0.3936, k: 0.9201, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 186: Reward: 14.00, Epsilon: 0.3917, k: 0.8605, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 187: Reward: 14.00, Epsilon: 0.3897, k: 0.8069, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
