11-28 18:08:29: Training starting...
Episode 68: Reward: 11.00, Epsilon: 0.7076, k: 0.8290, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 69: Reward: 50.00, Epsilon: 0.7041, k: 1.1114, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 70: Reward: 17.00, Epsilon: 0.7005, k: 1.0785, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 71: Reward: 39.00, Epsilon: 0.6970, k: 1.2402, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 72: Reward: 12.00, Epsilon: 0.6936, k: 1.1510, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 73: Reward: 18.00, Epsilon: 0.6901, k: 1.1228, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 74: Reward: 13.00, Epsilon: 0.6866, k: 1.0540, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 75: Reward: 21.00, Epsilon: 0.6832, k: 1.0617, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 76: Reward: 27.00, Epsilon: 0.6798, k: 1.1207, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 77: Reward: 33.00, Epsilon: 0.6764, k: 1.2260, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 78: Reward: 11.00, Epsilon: 0.6730, k: 1.1295, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 79: Reward: 20.00, Epsilon: 0.6696, k: 1.1209, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 80: Reward: 17.00, Epsilon: 0.6663, k: 1.0871, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 81: Reward: 13.00, Epsilon: 0.6630, k: 1.0218, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 82: Reward: 16.00, Epsilon: 0.6597, k: 0.9892, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 83: Reward: 26.00, Epsilon: 0.6564, k: 1.0468, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 84: Reward: 29.00, Epsilon: 0.6531, k: 1.1248, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 85: Reward: 17.00, Epsilon: 0.6498, k: 1.0905, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 86: Reward: 17.00, Epsilon: 0.6466, k: 1.0597, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 87: Reward: 28.00, Epsilon: 0.6433, k: 1.1277, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 88: Reward: 11.00, Epsilon: 0.6401, k: 1.0410, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 89: Reward: 13.00, Epsilon: 0.6369, k: 0.9804, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 90: Reward: 10.00, Epsilon: 0.6337, k: 0.8997, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 91: Reward: 11.00, Epsilon: 0.6306, k: 0.8358, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 92: Reward: 18.00, Epsilon: 0.6274, k: 0.8392, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 93: Reward: 15.00, Epsilon: 0.6243, k: 0.8162, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 94: Reward: 10.00, Epsilon: 0.6211, k: 0.7519, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 95: Reward: 12.00, Epsilon: 0.6180, k: 0.7115, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 96: Reward: 14.00, Epsilon: 0.6149, k: 0.6926, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 97: Reward: 10.00, Epsilon: 0.6119, k: 0.6407, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 98: Reward: 16.00, Epsilon: 0.6088, k: 0.6462, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 99: Reward: 11.00, Epsilon: 0.6058, k: 0.6077, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 100: Reward: 13.00, Epsilon: 0.6027, k: 0.5904, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 101: Reward: 17.00, Epsilon: 0.5997, k: 0.6096, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 102: Reward: 8.00, Epsilon: 0.5967, k: 0.5486, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 103: Reward: 16.00, Epsilon: 0.5937, k: 0.5633, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 104: Reward: 14.00, Epsilon: 0.5908, k: 0.5592, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 105: Reward: 21.00, Epsilon: 0.5878, k: 0.6163, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 106: Reward: 13.00, Epsilon: 0.5849, k: 0.5981, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 107: Reward: 22.00, Epsilon: 0.5820, k: 0.6601, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 108: Reward: 13.00, Epsilon: 0.5790, k: 0.6375, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 109: Reward: 9.00, Epsilon: 0.5762, k: 0.5825, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 110: Reward: 15.00, Epsilon: 0.5733, k: 0.5851, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 111: Reward: 10.00, Epsilon: 0.5704, k: 0.5440, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 112: Reward: 12.00, Epsilon: 0.5676, k: 0.5244, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 113: Reward: 16.00, Epsilon: 0.5647, k: 0.5415, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 114: Reward: 9.00, Epsilon: 0.5619, k: 0.4960, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 115: Reward: 10.00, Epsilon: 0.5591, k: 0.4638, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 116: Reward: 20.00, Epsilon: 0.5563, k: 0.5218, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 117: Reward: 16.00, Epsilon: 0.5535, k: 0.5392, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 118: Reward: 31.00, Epsilon: 0.5507, k: 0.6853, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 119: Reward: 13.00, Epsilon: 0.5480, k: 0.6602, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 120: Reward: 14.00, Epsilon: 0.5452, k: 0.6464, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 121: Reward: 11.00, Epsilon: 0.5425, k: 0.6078, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 122: Reward: 10.00, Epsilon: 0.5398, k: 0.5644, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 123: Reward: 17.00, Epsilon: 0.5371, k: 0.5862, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 124: Reward: 16.00, Epsilon: 0.5344, k: 0.5972, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 125: Reward: 19.00, Epsilon: 0.5318, k: 0.6331, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 126: Reward: 13.00, Epsilon: 0.5291, k: 0.6133, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 127: Reward: 20.00, Epsilon: 0.5264, k: 0.6563, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 128: Reward: 17.00, Epsilon: 0.5238, k: 0.6689, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 129: Reward: 17.00, Epsilon: 0.5212, k: 0.6803, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 130: Reward: 9.00, Epsilon: 0.5186, k: 0.6210, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 131: Reward: 25.00, Epsilon: 0.5160, k: 0.7067, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 132: Reward: 13.00, Epsilon: 0.5134, k: 0.6795, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 133: Reward: 25.00, Epsilon: 0.5108, k: 0.7594, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 134: Reward: 9.00, Epsilon: 0.5083, k: 0.6921, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
