11-28 10:10:29: Training starting...
Episode 122: Reward: 9.00, Epsilon: 0.5398, k: 178.0364, Noise Penalty Scale: 0.1000
Episode 123: Reward: 13.00, Epsilon: 0.5371, k: 178.9818, Noise Penalty Scale: 0.1000
Episode 124: Reward: 10.00, Epsilon: 0.5344, k: 179.7091, Noise Penalty Scale: 0.1000
Episode 125: Reward: 12.00, Epsilon: 0.5318, k: 180.5818, Noise Penalty Scale: 0.1000
Episode 126: Reward: 13.00, Epsilon: 0.5291, k: 181.5273, Noise Penalty Scale: 0.1000
Episode 127: Reward: 10.00, Epsilon: 0.5264, k: 182.2545, Noise Penalty Scale: 0.1000
Episode 128: Reward: 13.00, Epsilon: 0.5238, k: 183.2000, Noise Penalty Scale: 0.1000
Episode 129: Reward: 18.00, Epsilon: 0.5212, k: 184.5091, Noise Penalty Scale: 0.1000
Episode 130: Reward: 13.00, Epsilon: 0.5186, k: 185.4545, Noise Penalty Scale: 0.1000
Episode 131: Reward: 16.00, Epsilon: 0.5160, k: 186.6182, Noise Penalty Scale: 0.1000
Episode 132: Reward: 12.00, Epsilon: 0.5134, k: 187.4909, Noise Penalty Scale: 0.1000
Episode 133: Reward: 12.00, Epsilon: 0.5108, k: 188.3636, Noise Penalty Scale: 0.1000
Episode 134: Reward: 12.00, Epsilon: 0.5083, k: 189.2364, Noise Penalty Scale: 0.1000
Episode 135: Reward: 9.00, Epsilon: 0.5058, k: 189.8909, Noise Penalty Scale: 0.1000
Episode 136: Reward: 15.00, Epsilon: 0.5032, k: 190.9818, Noise Penalty Scale: 0.1000
Episode 137: Reward: 13.00, Epsilon: 0.5007, k: 191.9273, Noise Penalty Scale: 0.1000
Episode 138: Reward: 12.00, Epsilon: 0.4982, k: 192.8000, Noise Penalty Scale: 0.1000
Episode 139: Reward: 9.00, Epsilon: 0.4957, k: 193.4545, Noise Penalty Scale: 0.1000
Episode 140: Reward: 11.00, Epsilon: 0.4932, k: 194.2545, Noise Penalty Scale: 0.1000
Episode 141: Reward: 14.00, Epsilon: 0.4908, k: 195.2727, Noise Penalty Scale: 0.1000
Episode 142: Reward: 27.00, Epsilon: 0.4883, k: 197.2364, Noise Penalty Scale: 0.1000
Episode 143: Reward: 13.00, Epsilon: 0.4859, k: 198.1818, Noise Penalty Scale: 0.1000
Episode 144: Reward: 9.00, Epsilon: 0.4834, k: 198.8364, Noise Penalty Scale: 0.1000
Episode 145: Reward: 16.00, Epsilon: 0.4810, k: 200.0000, Noise Penalty Scale: 0.1000
Episode 146: Reward: 11.00, Epsilon: 0.4786, k: 200.8000, Noise Penalty Scale: 0.1000
Episode 147: Reward: 8.00, Epsilon: 0.4762, k: 201.3818, Noise Penalty Scale: 0.1000
Episode 148: Reward: 11.00, Epsilon: 0.4738, k: 202.1818, Noise Penalty Scale: 0.1000
Episode 149: Reward: 17.00, Epsilon: 0.4715, k: 203.4182, Noise Penalty Scale: 0.1000
Episode 150: Reward: 24.00, Epsilon: 0.4691, k: 205.1636, Noise Penalty Scale: 0.1000
Episode 151: Reward: 9.00, Epsilon: 0.4668, k: 205.8182, Noise Penalty Scale: 0.1000
Episode 152: Reward: 10.00, Epsilon: 0.4644, k: 206.5455, Noise Penalty Scale: 0.1000
Episode 153: Reward: 13.00, Epsilon: 0.4621, k: 207.4909, Noise Penalty Scale: 0.1000
Episode 154: Reward: 17.00, Epsilon: 0.4598, k: 208.7273, Noise Penalty Scale: 0.1000
Episode 155: Reward: 11.00, Epsilon: 0.4575, k: 209.5273, Noise Penalty Scale: 0.1000
Episode 156: Reward: 15.00, Epsilon: 0.4552, k: 210.6182, Noise Penalty Scale: 0.1000
Episode 157: Reward: 13.00, Epsilon: 0.4529, k: 211.5636, Noise Penalty Scale: 0.1000
Episode 158: Reward: 23.00, Epsilon: 0.4507, k: 213.2364, Noise Penalty Scale: 0.1000
Episode 159: Reward: 9.00, Epsilon: 0.4484, k: 213.8909, Noise Penalty Scale: 0.1000
Episode 160: Reward: 16.00, Epsilon: 0.4462, k: 215.0545, Noise Penalty Scale: 0.1000
Episode 161: Reward: 12.00, Epsilon: 0.4440, k: 215.9273, Noise Penalty Scale: 0.1000
