11-28 14:24:57: Training starting...
Episode 80: Reward: 11.00, Epsilon: 0.6663, k: 125.0000, Noise Penalty Scale: 0.1000
Episode 81: Reward: 20.00, Epsilon: 0.6630, k: 126.3333, Noise Penalty Scale: 0.1000
Episode 82: Reward: 44.00, Epsilon: 0.6597, k: 129.2667, Noise Penalty Scale: 0.1000
Episode 83: Reward: 15.00, Epsilon: 0.6564, k: 130.2667, Noise Penalty Scale: 0.1000
Episode 84: Reward: 22.00, Epsilon: 0.6531, k: 131.7333, Noise Penalty Scale: 0.1000
Episode 85: Reward: 11.00, Epsilon: 0.6498, k: 132.4667, Noise Penalty Scale: 0.1000
Episode 86: Reward: 17.00, Epsilon: 0.6466, k: 133.6000, Noise Penalty Scale: 0.1000
Episode 87: Reward: 19.00, Epsilon: 0.6433, k: 134.8667, Noise Penalty Scale: 0.1000
Episode 88: Reward: 13.00, Epsilon: 0.6401, k: 135.7333, Noise Penalty Scale: 0.1000
Episode 89: Reward: 25.00, Epsilon: 0.6369, k: 137.4000, Noise Penalty Scale: 0.1000
Episode 90: Reward: 28.00, Epsilon: 0.6337, k: 139.2667, Noise Penalty Scale: 0.1000
Episode 91: Reward: 10.00, Epsilon: 0.6306, k: 139.9333, Noise Penalty Scale: 0.1000
Episode 92: Reward: 9.00, Epsilon: 0.6274, k: 140.5333, Noise Penalty Scale: 0.1000
Episode 93: Reward: 22.00, Epsilon: 0.6243, k: 142.0000, Noise Penalty Scale: 0.1000
Episode 94: Reward: 9.00, Epsilon: 0.6211, k: 142.6000, Noise Penalty Scale: 0.1000
Episode 95: Reward: 19.00, Epsilon: 0.6180, k: 143.8667, Noise Penalty Scale: 0.1000
Episode 96: Reward: 42.00, Epsilon: 0.6149, k: 146.6667, Noise Penalty Scale: 0.1000
Episode 97: Reward: 15.00, Epsilon: 0.6119, k: 147.6667, Noise Penalty Scale: 0.1000
Episode 98: Reward: 15.00, Epsilon: 0.6088, k: 148.6667, Noise Penalty Scale: 0.1000
Episode 99: Reward: 20.00, Epsilon: 0.6058, k: 150.0000, Noise Penalty Scale: 0.1000
Episode 100: Reward: 36.00, Epsilon: 0.6027, k: 152.4000, Noise Penalty Scale: 0.1000
Episode 101: Reward: 27.00, Epsilon: 0.5997, k: 154.2000, Noise Penalty Scale: 0.1000
Episode 102: Reward: 18.00, Epsilon: 0.5967, k: 155.4000, Noise Penalty Scale: 0.1000
Episode 103: Reward: 27.00, Epsilon: 0.5937, k: 157.2000, Noise Penalty Scale: 0.1000
Episode 104: Reward: 17.00, Epsilon: 0.5908, k: 158.3333, Noise Penalty Scale: 0.1000
Episode 105: Reward: 19.00, Epsilon: 0.5878, k: 159.6000, Noise Penalty Scale: 0.1000
Episode 106: Reward: 10.00, Epsilon: 0.5849, k: 160.2667, Noise Penalty Scale: 0.1000
Episode 107: Reward: 17.00, Epsilon: 0.5820, k: 161.4000, Noise Penalty Scale: 0.1000
Episode 108: Reward: 13.00, Epsilon: 0.5790, k: 162.2667, Noise Penalty Scale: 0.1000
Episode 109: Reward: 14.00, Epsilon: 0.5762, k: 163.2000, Noise Penalty Scale: 0.1000
Episode 110: Reward: 11.00, Epsilon: 0.5733, k: 163.9333, Noise Penalty Scale: 0.1000
Episode 111: Reward: 12.00, Epsilon: 0.5704, k: 164.7333, Noise Penalty Scale: 0.1000
Episode 112: Reward: 16.00, Epsilon: 0.5676, k: 165.8000, Noise Penalty Scale: 0.1000
Episode 113: Reward: 56.00, Epsilon: 0.5647, k: 169.5333, Noise Penalty Scale: 0.1000
Episode 114: Reward: 19.00, Epsilon: 0.5619, k: 170.8000, Noise Penalty Scale: 0.1000
Episode 115: Reward: 12.00, Epsilon: 0.5591, k: 171.6000, Noise Penalty Scale: 0.1000
Episode 116: Reward: 14.00, Epsilon: 0.5563, k: 172.5333, Noise Penalty Scale: 0.1000
Episode 117: Reward: 11.00, Epsilon: 0.5535, k: 173.2667, Noise Penalty Scale: 0.1000
Episode 118: Reward: 18.00, Epsilon: 0.5507, k: 174.4667, Noise Penalty Scale: 0.1000
Episode 119: Reward: 10.00, Epsilon: 0.5480, k: 175.1333, Noise Penalty Scale: 0.1000
Episode 120: Reward: 16.00, Epsilon: 0.5452, k: 176.2000, Noise Penalty Scale: 0.1000
Episode 121: Reward: 14.00, Epsilon: 0.5425, k: 177.1333, Noise Penalty Scale: 0.1000
Episode 122: Reward: 26.00, Epsilon: 0.5398, k: 178.8667, Noise Penalty Scale: 0.1000
Episode 123: Reward: 14.00, Epsilon: 0.5371, k: 179.8000, Noise Penalty Scale: 0.1000
Episode 124: Reward: 23.00, Epsilon: 0.5344, k: 181.3333, Noise Penalty Scale: 0.1000
Episode 125: Reward: 26.00, Epsilon: 0.5318, k: 183.0667, Noise Penalty Scale: 0.1000
Episode 126: Reward: 10.00, Epsilon: 0.5291, k: 183.7333, Noise Penalty Scale: 0.1000
Episode 127: Reward: 22.00, Epsilon: 0.5264, k: 185.2000, Noise Penalty Scale: 0.1000
Episode 128: Reward: 10.00, Epsilon: 0.5238, k: 185.8667, Noise Penalty Scale: 0.1000
Episode 129: Reward: 18.00, Epsilon: 0.5212, k: 187.0667, Noise Penalty Scale: 0.1000
