11-28 01:17:15: Training starting...
Episode 95: Reward: 15.00, Epsilon: 0.6180, k: 0.8936, Noise Penalty Scale: 0.1000
Episode 96: Reward: 21.00, Epsilon: 0.6149, k: 1.6596, Noise Penalty Scale: 0.1000
Episode 97: Reward: 63.00, Epsilon: 0.6119, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 98: Reward: 28.00, Epsilon: 0.6088, k: 2.1818, Noise Penalty Scale: 0.1000
Episode 99: Reward: 12.00, Epsilon: 0.6058, k: 0.4364, Noise Penalty Scale: 0.1000
Episode 100: Reward: 23.00, Epsilon: 0.6027, k: 1.6364, Noise Penalty Scale: 0.1000
Episode 101: Reward: 24.00, Epsilon: 0.5997, k: 1.7455, Noise Penalty Scale: 0.1000
Episode 102: Reward: 57.00, Epsilon: 0.5967, k: 5.3455, Noise Penalty Scale: 0.1000
Episode 103: Reward: 13.00, Epsilon: 0.5937, k: 0.5455, Noise Penalty Scale: 0.1000
Episode 104: Reward: 16.00, Epsilon: 0.5908, k: 0.8727, Noise Penalty Scale: 0.1000
Episode 105: Reward: 37.00, Epsilon: 0.5878, k: 3.1636, Noise Penalty Scale: 0.1000
Episode 106: Reward: 17.00, Epsilon: 0.5849, k: 0.9818, Noise Penalty Scale: 0.1000
Episode 107: Reward: 34.00, Epsilon: 0.5820, k: 2.8364, Noise Penalty Scale: 0.1000
Episode 108: Reward: 52.00, Epsilon: 0.5790, k: 4.8000, Noise Penalty Scale: 0.1000
Episode 109: Reward: 14.00, Epsilon: 0.5762, k: 0.6545, Noise Penalty Scale: 0.1000
Episode 110: Reward: 12.00, Epsilon: 0.5733, k: 0.4364, Noise Penalty Scale: 0.1000
Episode 111: Reward: 55.00, Epsilon: 0.5704, k: 5.1273, Noise Penalty Scale: 0.1000
Episode 112: Reward: 10.00, Epsilon: 0.5676, k: 0.2182, Noise Penalty Scale: 0.1000
Episode 113: Reward: 14.00, Epsilon: 0.5647, k: 0.6545, Noise Penalty Scale: 0.1000
Episode 114: Reward: 10.00, Epsilon: 0.5619, k: 0.2182, Noise Penalty Scale: 0.1000
Episode 115: Reward: 32.00, Epsilon: 0.5591, k: 2.6182, Noise Penalty Scale: 0.1000
Episode 116: Reward: 54.00, Epsilon: 0.5563, k: 5.0182, Noise Penalty Scale: 0.1000
Episode 117: Reward: 13.00, Epsilon: 0.5535, k: 0.5455, Noise Penalty Scale: 0.1000
